Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths/100 cases,Recovered/100 cases,Deaths/100 recovered,No.of countries
2020/1/22,1,0,0,0,2,1,3,1,0,0,1
2020/1/23,2,0,0,0,2,1,3,2,0,0,2
2020/1/24,3,0,0,0,2,1,3,1,0,0,3
2020/1/25,4,0,0,0,2,1,3,2,0,0,4
2020/1/26,5,0,0,0,2,1,3,2,0,0,5
2020/1/27,6,0,0,1,2,1,3,2,0,0,6
2020/1/28,7,0,0,1,2,1,3,2,1,1,7
2020/1/29,8,0,0,1,2,1,3,2,2,1,8
2020/1/30,9,0,1,1,2,1,3,2,3,1,9
2020/1/31,10,0,0,1,2,1,3,2,4,1,10
2020/2/1,11,1,0,1,2,1,3,2,5,1,11
2020/2/2,12,2,0,1,2,1,3,2,6,1,12
2020/2/3,13,3,0,1,2,1,3,2,7,1,13
2020/2/4,14,4,0,1,2,1,3,2,8,1,14
2020/2/5,15,5,0,1,2,1,3,2,9,1,15
2020/2/6,16,6,1,1,2,1,3,2,10,1,16
2020/2/7,17,7,0,1,2,1,3,2,11,1,17
2020/2/8,18,8,0,1,2,1,3,2,12,1,18
2020/2/9,19,9,0,1,2,1,3,2,13,1,19
2020/2/10,20,10,1,1,2,1,3,2,14,1,20
2020/2/11,21,11,0,1,2,1,3,2,15,1,21
2020/2/12,22,12,10,1,2,1,3,2,16,1,22
2020/2/13,23,13,0,1,2,1,3,2,17,1,23
2020/2/14,24,14,1,1,2,1,3,2,18,1,24
2020/2/15,25,15,1,1,2,1,3,2,19,1,25
2020/2/16,26,16,1,1,2,1,3,2,20,1,26
2020/2/17,27,17,12,1,2,1,3,2,21,1,27
2020/2/18,28,18,1,1,2,1,3,2,22,1,28
2020/2/19,29,19,2,1,2,1,3,2,23,1,29
2020/2/20,30,20,3,1,2,1,3,2,24,1,30
2020/2/21,31,21,4,1,2,1,3,2,25,1,31
2020/2/22,32,22,5,1,2,1,3,2,26,1,32
2020/2/23,33,23,6,1,2,1,3,2,27,1,33
2020/2/24,34,24,7,1,2,1,3,2,28,1,34
2020/2/25,35,25,8,1,2,1,3,2,29,1,35
2020/2/26,36,26,9,1,2,1,3,2,30,1,36
2020/2/27,37,27,10,1,2,1,3,2,31,1,37
2020/2/28,38,28,11,1,2,1,3,2,32,1,38
2020/2/29,39,29,12,1,2,1,3,2,33,1,39
2020/3/1,40,30,13,1,2,1,3,2,34,1,40
2020/3/2,41,31,14,1,2,1,3,2,35,1,41
2020/3/3,42,32,15,1,2,1,3,2,36,1,42
2020/3/4,43,33,16,1,2,1,3,2,37,1,43
2020/3/5,44,34,17,1,2,1,3,2,38,1,44
2020/3/6,45,35,18,1,2,1,3,2,39,1,45
2020/3/7,46,36,19,1,2,1,3,2,40,1,46
2020/3/8,47,37,20,1,2,1,3,2,41,1,47
2020/3/9,48,38,21,1,2,1,3,2,42,1,48
2020/3/10,49,39,22,1,2,1,3,2,43,1,49
2020/3/11,50,40,23,1,2,1,3,2,44,1,50
2020/3/12,51,41,24,1,2,1,3,2,45,1,51
2020/3/13,52,42,25,1,2,1,3,2,46,1,52
2020/3/14,53,43,26,1,2,1,3,2,47,1,53
